ID,Nom_Produit,Marque,Code_Barres,Categorie,Energie_kJ,Energie_kcal,Acides_Gras_Satures_g,Sucres_g,Sodium_mg,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,Score_Nutriscore,Label_Nutriscore,Score_Greenscore,Label_Greenscore,Label_Bio,Nombre_Additifs,Liste_Additifs
177,Raïbi,albane,6111265800183,Jus de fruits,301.0,72.0,0.7,9.2,0.0,0.0,2.3,0.0,0,11,E,18.0,E,NON,0,
178,Tasty Summer Fruits,Rocks,5023762000632,Soda,75.0,18.0,0.0,4.3,0.0,0.0,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,1,e330
179,Boisson soja nature BIO 1l,"Regain, Regain Bio",3250391318353,Autre boisson,168.0,40.0,0.4,0.4,2.4,0.006,3.9,0.5,0,-4,B,95.0,A-PLUS,OUI,0,
180,Tourtel 27.5 cl Tourtel Twist Lime 0.0 DEGRE ALCOOL,Tourtel twist,3080216050751,Autre boisson,132.0,32.0,0.0,5.3,4.0,0.01,0.2,0.0,0,6,C,41.0,D,NON,3,"e290, e330, e414"
181,Orangina,Orangina,3124480167026,Soda,175.0,41.0,0.0,9.6,4.0,0.01,0.1,0.0,0,9,D,,NOT-APPLICABLE,NON,1,e202
182,Oatly! Bio Hafer/Oat,Oatly,7394376615894,Boisson lactée,166.0,39.0,0.1,3.4,40.0,0.1,1.1,0.8,0,5,C,81.0,A,OUI,0,
183,Volvic essentiel bio,Volvic,3057640514098,Eau,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,B,,NOT-APPLICABLE,OUI,0,
184,Aïn saïss citron citron vert,Aïn Saïs,6111128000224,Eau,85.1,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0,1,B,,NOT-APPLICABLE,NON,0,
185,Yakult original,Yakult,8713108000835,Boisson lactée,280.0,66.0,0.0,13.6,16.0,0.04,1.3,0.0,0,15,E,30.0,D,NON,0,
186,"1,5L FRAISE VOLVIC","Danone,Volvic",3057640467233,Eau,83.0,20.0,0.0,4.9,4.0,0.01,0.5,0.0,0,4,C,,NOT-APPLICABLE,NON,0,
187,Jus d'orange sans pulpe,innocent,5038862134729,Jus de fruits,149.0,35.0,0.1,7.8,4.0,0.01,0.7,0.7,0,2,B,52.0,C,NON,0,
188,Coca-Cola Zero Zero,Coca-Cola,5449000169327,Soda,0.9,0.3,0.0,0.0,10.0,0.025,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,6,"e150d, e331, e338, e950, e951, e952"
189,iKaffe,OAT-LY!,7394376616037,Boisson lactée,255.0,61.0,0.3,3.4,0.1,0.0,1.1,0.8,0,7,D,63.0,B,NON,2,"e340, e340ii"
190,"No Milk Hafer 3,5% Fett","Lidl, Vemondo",4056489708995,Boisson lactée,222.0,53.0,0.3,1.2,52.0,0.13,0.8,1.1,0,5,C,61.0,B,NON,4,"e170, e170i, e340, e418"
191,Kong Strong Wild Power Sugar Free,Lidl,20917609,Boisson énergisante,15.0,4.0,0.1,0.1,76.0,0.19,0.4,0.0,0,4,C,,NOT-APPLICABLE,NON,5,"e150a, e330, e331, e950, e951"
192,"Alpro Fermentiertes Sojaprodukt, Heidelbeere, 500g",Alpro,5411188102809,Autre boisson,293.0,70.0,0.4,7.9,60.0,0.15,3.7,1.0,0,5,C,43.0,D,NON,4,"e304, e330, e331, e440"
193,"Alpro Sojadrink, Banane 1L",Alpro,5411188116905,Boisson lactée,243.0,58.0,0.3,6.0,56.0,0.14,3.0,0.6,0,3,C,79.0,A,NON,2,"e340, e418"
194,JOKER LE BIO MULTIFRUIT 1L,Joker,3123349014433,Jus de fruits,167.0,40.0,0.0,8.6,0.0,0.0,0.0,0.0,0,4,C,46.0,C,OUI,0,
195,100% Pur Jus - Pomme,"CMI (Carrefour Marchandises Internationales), Carrefour, Groupe Carrefour",3560070275267,Jus de fruits,197.0,47.0,0.0,10.0,4.0,0.01,0.0,0.0,0,5,C,63.0,B,NON,0,
196,Volvic Juicy Fraise,"Volvic,Volvic juicy",3057640458828,Eau,83.0,20.0,0.0,4.9,4.0,0.01,0.5,0.0,0,4,C,,NOT-APPLICABLE,NON,0,
197,Le Fruit - Orange sans pulpe,Joker,3123340008288,Jus de fruits,178.0,42.0,0.0,8.7,4.0,0.01,0.6,0.0,0,4,C,84.0,A,NON,0,
198,Super smoothie energy 750ml,Innocent,5038862239677,Autre boisson,224.0,53.0,0.0,10.0,0.0,0.0,1.5,1.4,0,5,C,43.0,D,NON,0,
199,Acqua minerale naturale,Uliveto,8008490000021,Autre boisson,0.0,0.0,0.0,0.0,64.0,0.16,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
200,[Coca-Cola] Carbonated softdrink with cola taste,The Coca-Cola Company,5000112651324,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,3,"e150d, e290, e338"
201,Coconut Milk,Aldi/Actileaf,4061459329001,Boisson lactée,106.0,25.0,1.0,2.5,51.0,0.128,0.3,0.2,0,4,C,58.0,C,NON,1,e418
202,Bio-Haferdrink Natur,"My Vay, Aldi, DE-VAU-GE Gesundkostwerk, Mona Naturprodukte",4061459133271,Boisson lactée,170.0,40.0,0.1,4.2,32.0,0.08,0.7,0.5,0,6,C,83.0,A,OUI,0,
203,Bebida de avena calcio,Vemondo,20659318,Autre boisson,196.0,46.0,0.1,6.3,28.0,0.07,1.4,0.2,0,7,D,63.0,B,NON,1,e418
204,100% pur jus orange sans pulpe,Paquito,3250390001287,Jus de fruits,187.0,43.0,0.1,8.5,4.0,0.01,0.7,0.5,0,4,C,43.0,D,NON,0,
205,Smooth Orange Juice,Tropicana,5022313729824,Jus de fruits,172.0,40.0,0.0,8.6,0.0,0.0,0.8,0.0,0,4,C,57.0,C,NON,0,
206,Schweppes,Schweppes,5449000046413,Soda,2.0,19.8,0.0,4.4,16.0,0.04,1.0,2.0,0,3,C,,NOT-APPLICABLE,NON,4,"e104, e202, e300, e414"
207,Thé vert glacé saveur citron vert & menthe,FUZE TEA,5449000266002,Thé,79.0,19.0,0.0,4.4,20.0,0.05,0.0,0.0,0,8,D,62.0,B,NON,4,"e300, e330, e331, e960"
208,Trip CBD Infused Elderflower Mint,Trip,5070000120706,Autre boisson,32.0,8.0,0.0,1.5,0.0,0.0,0.0,0.0,0,2,B,66.0,B,NON,2,"e330, e968"
209,Innocent smoothie for kids,Innocent,5038862634106,Autre boisson,210.0,50.0,0.1,10.0,4.0,0.01,0.5,0.6,0,7,D,44.0,D,NON,0,
210,ALMOMD MILK,Rude health,5060120285744,Boisson lactée,236.0,56.0,0.3,4.7,32.0,0.08,0.2,0.0,0,7,D,57.0,C,NON,0,
211,Préparation Citrons pressés,Andros,3045320104530,Autre boisson,180.0,43.0,0.0,10.0,8.0,0.02,0.2,0.4,0,11,E,53.0,C,NON,0,
212,"Pepsi 1,5L",Pepsi,3502110008329,Soda,78.0,18.0,0.0,4.6,0.0,0.0,0.0,0.0,0,8,D,,NOT-APPLICABLE,NON,4,"e150d, e338, e950, e955"
213,Coca Cola Zero Sugar,Coca Cola,5000112552232,Soda,2.3,1.0,0.0,0.0,20.0,0.05,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,7,"e150d, e290, e331, e338, e950, e951, e960c"
214,Fanta tropical exotic,Fanta,5449000083142,Soda,176.0,41.3,0.0,10.1,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,3,"e160, e202, e330"
215,Coca-Cola sans sucres,Coca-Cola,90357473,Soda,1.4,0.3,0.0,0.0,8.0,0.02,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,5,"e150d, e331, e338, e950, e951"
216,SANPELLEGRINO Momenti boisson gazeuse aromatise clémentine pêche 33cl,"Nestlé, San Pellegrino, Momenti, Sanpellegrino",8002270666667,Eau,44.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0,2,B,,NOT-APPLICABLE,NON,2,"e290, e330"
217,Fraise et Citron,Pulco,3124480183347,Autre boisson,220.0,52.0,0.0,11.6,4.0,0.01,0.1,0.0,0,20,E,42.0,D,NON,1,e330
218,SOJA à la VANILLE,"Carrefour BIO, Carrefour",3245411157944,Boisson lactée,195.0,46.0,0.3,4.0,60.0,0.15,3.2,0.7,0,-1,B,101.0,A-PLUS,OUI,0,
219,coca cola,Coca-Cola,5000112548068,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,3,"e150d, e290, e338"
220,Thé vert menthe intense menthe verte & menthe poivrée,Lipton,8720608025657,Thé,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,B,100.0,A-PLUS,NON,0,
221,Le Lait Ribot,Paysan Breton,3218930156002,Boisson lactée,243.0,58.0,2.3,4.0,40.0,0.1,3.3,0.0,0,3,C,44.0,D,NON,0,
222,Tropicana Pamplemousse rose 1 L,Tropicana,3502110004239,Jus de fruits,164.0,39.0,0.0,7.6,0.0,0.0,0.5,0.9,0,3,C,31.0,D,NON,0,
223,Soia,Alpro,5411188553304,Autre boisson,170.0,40.0,0.3,2.8,36.0,0.09,3.0,0.4,0,-1,B,80.0,A,NON,2,"e340, e418"
224,Limonada natural light,Don Simón,8410261626802,Soda,97.0,23.0,0.0,5.6,4.0,0.01,0.1,0.0,0,10,E,,NOT-APPLICABLE,NON,1,e955
225,Eau petillante,Saguaro,4056489105619,Eau,0.0,0.0,0.0,0.0,14.5,0.036,0.0,0.0,0,0,B,,NOT-APPLICABLE,NON,0,
226,Haferdrink Natur,DmBio,4067796002003,Autre boisson,168.0,40.0,0.2,5.2,52.0,0.13,0.6,0.5,0,7,D,52.0,C,OUI,0,
227,Coca-Cola,"Coca-Cola, Coca-Cola company, The Coca Cola Company",5000112545326,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,3,"e150d, e290, e338"
228,Innocent jus pomme & framboise 900ml,Innocent,5038862165501,Jus de fruits,181.0,42.7,0.0,9.33,0.0,0.0,0.19,0.67,0,5,C,30.0,D,NON,0,
229,"Alpro Sojadrink, Barista 1L",DANONE AS,5411188115434,Autre boisson,177.0,42.0,0.3,2.5,40.0,0.1,3.3,0.6,0,-2,B,80.0,A,NON,4,"e170, e170i, e340, e418"
230,AQUA CARPATICA,,5942326402272,Eau,0.0,0.0,0.0,0.0,2.8,0.007,0.0,0.0,0,0,B,,NOT-APPLICABLE,NON,0,
231,Lait saveur cacao,ENVIA,20527488,Soda,292.0,69.0,1.0,10.0,52.0,0.13,3.0,0.7,0,8,D,54.0,C,NON,4,"e331, e407, e460, e466"
232,CRISTALINE Eau de Source au jus de fruits FRAISE 50cl,Cristaline,3254381048343,Eau,67.0,16.0,0.0,3.7,0.0,0.0,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,1,e330
233,Lait Demi-Ecrémé - Stérilisé UHT,"E.Leclerc, Eco +, Eco+, Leclerc",3450970102124,Boisson lactée,193.0,46.0,1.0,4.8,44.0,0.11,3.3,0.0,0,-1,B,60.0,B,NON,0,
234,Pur jus de citron,"Carrefour BIO, Carrefour",3560070483471,Jus de fruits,116.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0,-3,B,54.0,C,OUI,0,
235,apple juice,Innocent,5038862104708,Jus de fruits,180.0,45.0,0.0,9.5,0.0,0.0,0.2,0.5,0,7,D,58.0,C,NON,1,e300
236,Lalla Khedidja,Cevital,6130234001161,Eau,0.0,0.0,0.0,0.0,0.6,0.001,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
237,S.pellegrino,"Nestlé, San Pellegrino",8002270776823,Eau,3.0,1.0,0.0,0.0,4.0,0.01,0.0,0.0,0,0,B,,NOT-APPLICABLE,NON,0,
238,Cranberry drink,Mcennedy,4056489651086,Jus de fruits,154.0,36.0,0.0,8.4,12.0,0.03,0.1,0.0,0,10,E,26.0,E,NON,0,
239,Oatly Barista Organic Oat Drink,Oatly,7394376621673,Boisson lactée,248.0,59.0,0.3,2.2,40.0,0.1,1.0,0.7,0,7,D,77.0,A,OUI,2,"e501, e501i"
240,Unsweetened Soya,Sainsbury's,1550368,Boisson lactée,54.4,13.2,0.12,0.2,14.4,0.036,1.36,0.24,0,0,B,80.0,A,NON,1,e418
241,Tropicana Pommes pressées Pink Lady 1 L,Tropicana,3502110005670,Jus de fruits,198.0,47.0,0.0,11.0,0.0,0.0,0.1,0.6,0,8,D,54.0,C,NON,1,e300
242,Pur jus de pomme bio,Bjorg,3229820010991,Jus de fruits,194.0,46.0,0.0,10.0,1.0,0.0,0.1,0.1,100,2,B,90.0,A,OUI,0,
243,Pur jus d'orange bio,Bjorg,3229820010984,Jus de fruits,188.0,44.0,0.0,8.9,1.0,0.0,0.7,0.2,100,1,B,88.0,A,OUI,0,
244,Pur jus de raisin bio,Carrefour Bio,3560071139988,Jus de fruits,260.0,61.0,0.0,14.5,2.0,0.0,0.3,0.1,100,6,C,85.0,A,OUI,0,
245,Pur jus multifruits bio,Monoprix Bio,3350032477826,Jus de fruits,200.0,47.0,0.0,10.5,1.0,0.0,0.4,0.2,100,2,B,87.0,A,OUI,0,
246,Pur jus d'ananas bio,Alter Eco,3760018930115,Jus de fruits,205.0,48.0,0.0,10.5,2.0,0.0,0.4,0.3,100,2,B,75.0,B,OUI,0,
247,Boisson soja nature bio sans sucres,Bjorg,3229820787022,Boisson lactée,138.0,33.0,0.3,0.0,36.0,0.09,3.3,0.6,0,-5,A,80.0,A,OUI,2,"e340, e418"
248,Boisson avoine bio nature,Oatly,7394376616211,Boisson lactée,166.0,39.0,0.1,3.4,0.1,0.0,1.1,0.8,0,5,C,77.0,A,OUI,0,
249,Boisson riz bio nature,The Bridge,8019428004325,Boisson lactée,226.0,54.0,0.2,4.2,60.0,0.15,0.3,0.2,0,5,C,72.0,B,OUI,0,
250,Boisson coco bio,Autour du riz,3700899200014,Boisson lactée,75.0,18.0,1.4,0.7,8.0,0.02,0.2,0.1,0,1,B,68.0,B,OUI,1,e412
251,Thé vert bio,Clipper,5021991904615,Thé,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,A,92.0,A,OUI,0,
252,Infusion menthe bio,Pukka,5060229011794,Thé,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,A,90.0,A,OUI,0,
253,Thé glacé pêche bio sans sucres,Honest Tea,884394004819,Thé,79.0,19.0,0.0,4.5,2.0,0.0,0.0,0.0,5,2,B,75.0,B,OUI,0,
254,Smoothie fraise banane bio,Innocent,5000294000339,Autre boisson,220.0,52.0,0.1,10.3,1.0,0.0,0.6,1.2,100,1,B,70.0,B,OUI,0,
255,Smoothie mangue passion bio,Bjorg,3229820140025,Autre boisson,234.0,55.0,0.1,11.5,2.0,0.0,0.5,1.0,100,2,B,73.0,B,OUI,0,
256,Pur jus de tomate bio,Knorr,8712566445110,Jus de fruits,79.0,19.0,0.0,3.2,200.0,0.5,0.8,0.8,100,2,B,80.0,A,OUI,0,
257,Pur jus de carotte bio,Biotta,7610079100105,Jus de fruits,134.0,32.0,0.1,6.0,44.0,0.11,0.7,0.5,100,1,B,82.0,A,OUI,0,
258,Limonade bio,Lorina,3252920000156,Soda,159.0,38.0,0.0,9.0,1.0,0.0,0.0,0.0,10,4,C,65.0,B,OUI,0,
259,Kombucha gingembre bio,Karma,5060561290019,Autre boisson,92.0,22.0,0.0,4.8,5.0,0.01,0.1,0.0,0,2,B,78.0,A,OUI,0,
260,Eau de coco bio,Cocobella,9300657001317,Autre boisson,80.0,19.0,0.0,3.6,40.0,0.1,0.2,0.4,100,1,B,72.0,B,OUI,0,
261,Nectar de poire bio,Alce Nero,8009004810556,Jus de fruits,210.0,49.0,0.0,11.0,1.0,0.0,0.1,0.5,50,3,B,74.0,B,OUI,0,
262,Jus ACE bio (orange-carotte-citron),Voelkel,4015533021220,Jus de fruits,188.0,44.0,0.1,9.2,15.0,0.04,0.5,0.3,100,1,B,85.0,A,OUI,0,
263,Nectar de mangue bio,Jardin BiO,3760099533601,Jus de fruits,218.0,51.0,0.0,11.8,1.0,0.0,0.2,0.4,50,3,C,71.0,B,OUI,0,
264,Boisson avoine-amande bio,Lima,5411788044035,Boisson lactée,163.0,39.0,0.2,3.1,40.0,0.1,0.9,0.7,0,3,C,76.0,A,OUI,0,
265,Pur jus pomme-poire bio,Pressade,3033710062508,Jus de fruits,201.0,47.0,0.0,10.2,1.0,0.0,0.2,0.2,100,2,B,86.0,A,OUI,0,
266,Jus de pomme-framboise bio,Côteaux Nantais,3123930104810,Jus de fruits,198.0,46.0,0.0,10.1,1.0,0.0,0.2,0.2,100,2,B,88.0,A,OUI,0,
267,Jus de grenade bio,Granaline,3760234550098,Jus de fruits,234.0,55.0,0.0,12.5,2.0,0.0,0.3,0.1,100,4,C,76.0,A,OUI,0,
268,Boisson noisette bio,EcoMil,8428532230016,Boisson lactée,180.0,43.0,0.3,2.8,25.0,0.06,0.5,0.4,0,4,C,79.0,A,OUI,0,
269,Jus de cranberry bio,Cranberry Classic,4015533012501,Jus de fruits,176.0,41.0,0.0,9.2,3.0,0.0,0.1,0.1,100,1,B,82.0,A,OUI,0,
270,Eau aromatisée citron-menthe bio,Volvic Touch,3057640355837,Eau,6.0,1.0,0.0,0.3,8.0,0.02,0.0,0.0,1,0,B,,NOT-APPLICABLE,OUI,0,
271,Boisson épeautre bio,Natumi,4038375011600,Boisson lactée,155.0,37.0,0.2,2.8,30.0,0.07,0.6,0.3,0,3,C,78.0,A,OUI,0,
272,Jus de pamplemousse rose bio,Vitamont,3123930105510,Jus de fruits,167.0,39.0,0.0,8.5,1.0,0.0,0.5,0.1,100,1,B,84.0,A,OUI,0,
273,Infusion verveine bio,Yogi Tea,4012824402201,Thé,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,A,91.0,A,OUI,0,
274,Citronnade bio,Galvanina,8005850000016,Soda,134.0,32.0,0.0,7.5,1.0,0.0,0.0,0.0,12,3,C,70.0,B,OUI,0,
275,Thé noir bio Earl Grey,English Tea Shop,5060213013001,Thé,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,A,93.0,A,OUI,0,
