ID,Nom_Produit,Marque,Code_Barres,Categorie,Energie_kJ,Energie_kcal,Acides_Gras_Satures_g,Sucres_g,Sodium_mg,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,Score_Nutriscore,Label_Nutriscore,Score_Greenscore,Label_Greenscore,Label_Bio,Nombre_Additifs,Liste_Additifs
75,Organic Soya Unsweetened U.H.T.,Alpro,5411188511137,Boisson lactée,132.0,32.0,0.3,0.0,12.0,0.03,3.3,0.6,0,-5,B,93.0,A-PLUS,OUI,0,
76,1L PUR JUS ORANGE JOKER NEW,Joker,3123349011227,Jus de fruits,172.0,41.0,0.0,8.5,0.0,0.0,0.8,0.0,0,4,C,47.0,C,NON,0,
77,soya Vanille,Alpro,5411188115533,Boisson lactée,240.0,57.0,0.3,6.7,56.0,0.14,3.0,0.5,0,3,C,79.0,A,NON,2,"e340, e418"
78,L'ben,Soummam,6130760003769,Boisson lactée,168.5,40.1,1.13,0.0,28.0,0.07,2.7,0.0,0,-1,B,45.0,C,NON,0,
79,PET 1.2L MAYTEA MENTHE,May Tea,3124480195326,Thé,59.0,14.0,0.0,3.3,12.0,0.03,0.0,0.0,0,3,C,98.0,A-PLUS,NON,4,"e296, e300, e330, e331"
80,Bulles de fruits Pamplemousse Touche de citron,Badoit,3068320118420,Eau,89.0,21.0,0.0,4.9,24.0,0.06,0.5,0.5,0,4,C,,NOT-APPLICABLE,NON,1,e330
81,Soya Wholebean Unsweetened Drink U.H.T.,Alpro,5411188079996,Boisson lactée,138.0,33.0,0.3,0.0,35.0,0.087,3.3,0.6,0,-5,B,80.0,A,NON,2,"e340, e418"
82,"PET 1,5L SCHWEPPES AGRUMES",Schweppes,3124480196262,Soda,81.0,19.0,0.0,4.4,4.0,0.01,0.0,0.0,0,8,D,,NOT-APPLICABLE,NON,7,"e14xx, e202, e300, e330, e445, e950, e955"
83,Bebida de Avena Calcio y Vitaminas,Hacendado,8480000861672,Autre boisson,219.0,52.0,2.0,3.6,46.0,0.115,0.5,0.56,0,8,D,52.0,C,NON,2,"e415, e418"
84,Bebida de Soja,Hacendado,8480000136824,Autre boisson,147.0,35.0,0.3,0.7,64.0,0.16,3.4,0.7,0,0,B,80.0,A,NON,3,"e418, e950, e955"
85,Coca-Cola saveur cerise,Coca-Cola,5449000214843,Soda,182.0,43.0,0.0,10.7,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,2,"e150d, e338"
86,Orangina 50cl,Orangina,8435185100955,Soda,184.0,43.0,0.0,10.1,0.0,0.0,0.1,0.0,0,10,E,,NOT-APPLICABLE,NON,2,"e202, e330"
87,No Sugars Oat Drink,Oatly,7394376620867,Boisson lactée,184.0,44.0,0.2,0.0,47.0,0.117,1.0,0.7,0,3,C,52.0,C,NON,2,"e340, e340ii"
88,"CRISTALINE Eau de Source Pétillante 0,5L",Cristaline,3254381016922,Eau,0.0,0.0,0.0,0.0,8.4,0.021,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
89,Pur jus de citron,"Jardin bio, Léa Nature",3456300002508,Jus de fruits,133.0,31.0,0.2,1.7,0.0,0.0,0.0,0.0,0,-3,B,54.0,C,OUI,0,
90,Limonada natural,Don Simón,8410261657424,Soda,96.0,23.0,0.0,5.6,4.0,0.01,0.1,0.0,0,6,C,,NOT-APPLICABLE,NON,3,"e160a, e160ai, e300"
91,Red Bull Sugarfree,Red Bull,90162800,Boisson énergisante,13.0,3.0,0.0,0.0,42.0,0.105,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,11,"e101, e101i, e150a, e290, e330, e415, e500, e504, e504i, e950, e951"
92,Oat Milk,Actileaf,4061459290349,Boisson lactée,206.0,49.2,0.2,4.6,40.0,0.1,1.32,0.8,0,5,C,66.0,B,NON,0,
93,Schweppes citron 45cl,Schweppes,5449000318947,Soda,82.0,19.2,0.0,11.0,0.0,0.0,0.0,0.0,0,14,E,,NOT-APPLICABLE,NON,5,"e211, e330, e414, e950, e951"
94,Avoine,Carrefour,3245413451804,Boisson lactée,182.0,43.0,0.2,5.0,32.0,0.08,0.5,0.8,0,6,C,83.0,A,OUI,0,
95,Super Smoothie Antioxydant,Innocent,5038862234115,Jus de fruits,230.0,54.0,0.1,11.0,40.0,0.1,0.5,1.1,0,7,D,39.0,D,NON,0,
96,Boisson au soja,Vemondo,4056489695387,Boisson lactée,133.0,32.0,0.2,0.4,32.0,0.08,3.0,0.2,0,-4,B,99.0,A-PLUS,OUI,0,
97,alpro sabor natural con coco,Alpro,5411188139126,Thé,231.0,55.0,1.1,2.1,128.0,0.32,3.9,0.8,0,1,B,43.0,D,NON,5,"e304, e306, e330, e331, e440"
